AZ,CO,CA,ID,MT,NM,NV,OR,UT,WA,WY
7.69,7.17,12.14,4.77,7.23,7.19,9.47,6.75,5.52,6.74,5.38
7.52,7.76,12.42,4.75,6.91,6.98,9.48,6.86,5.86,6.43,5.19
7.59,7.71,11.98,4.74,6.81,7.37,9.48,6.88,6.06,6.3,5.28
7.72,7.86,11.89,4.91,7.13,7.04,9.28,6.84,6.03,6.3,5.4
7.88,7.87,11.74,4.65,6.93,7.19,9.26,6.79,6.05,6.21,5.14
8.8,7.88,12.24,4.64,7.11,7.28,9.31,6.71,6.42,6.11,5.37
8.84,8.22,13.66,5.16,7.21,7.55,10.09,6.88,6.96,6.16,5.3
9.37,7.58,14.08,5.28,7.32,7.61,11.08,7.13,7.18,6.47,5.34
9.3,7.45,13.99,5.49,7.3,7.77,10.69,7.06,6.91,6.21,5.29
9.12,7.6,13.85,5.37,7.25,7.52,10.62,7.19,6.91,6.37,5.3
8.93,7.91,12.61,5.18,7.37,7.65,10.06,7.25,6.53,6.51,5.47
8.03,7.78,12.29,5.25,6.96,7.55,9.38,7.33,5.83,6.59,5.18
7.92,7.6,11.97,5.2,7.27,7.57,9.87,7.27,5.8,6.64,5.29
8.04,7.56,11.55,5.31,7.47,7.73,9.84,7.42,5.98,6.64,5.29
8.16,7.77,11.55,5.27,7.51,7.76,9.79,7.35,5.99,6.66,5.46
8.26,7.82,11.46,5.43,7.66,7.48,9.82,7.32,5.96,6.65,5.51
8.61,8.63,11.23,5.37,7.7,7.73,9.66,7.36,6.23,6.55,5.52
9.44,8.74,12.01,5.27,7.86,8.19,9.68,7.13,6.45,6.16,5.84
9.89,8.94,13.67,6.03,7.64,9.03,10.21,7.08,7.04,6.32,5.81
10.01,9.58,13.62,5.9,7.94,9.26,10.81,7.04,7.13,6.47,5.87
9.99,9.63,14.07,5.95,8.1,9.53,9.87,7.1,7.05,6.49,5.85
9.5,9.41,13.32,5.88,8.15,9.01,9.88,7.18,6.99,6.48,5.72
9.19,8.35,12.47,5.89,7.69,8.44,9.79,7.3,6.7,6.54,5.98
8.36,8.3,12.48,5.94,7.44,7.81,9.02,7.34,6.09,6.74,5.58
8.48,8.01,11.64,5.97,7.51,7.65,9.63,7.26,5.97,6.77,5.68
8.48,7.52,12.33,5.99,7.53,7.87,9.89,7.36,6.19,6.72,5.78
8.67,7.75,12.26,6.14,7.55,8.35,9.66,7.51,6.22,6.75,5.9
8.71,7.63,12.19,6.11,7.58,8.37,9.79,7.36,6.32,6.71,6.07
9.04,7.9,12.17,6.16,7.36,7.68,9.8,7.37,6.53,6.55,5.95
10.04,7.93,13.16,6.02,7.54,7.64,9.7,7.43,6.85,6.46,6.05
10.12,8.2,14.13,6.93,7.66,8.33,10.27,7.46,7.51,6.4,6.09
10.38,8.83,15.0,7.06,7.68,8.55,11.5,7.51,7.49,6.47,6.33
10.39,8.86,14.91,6.79,7.6,8.68,11.48,7.37,7.38,6.48,6.33
10.09,8.93,14.72,6.62,7.65,8.13,11.43,7.45,7.22,6.47,6.29
9.74,8.79,13.23,6.53,7.68,8.06,10.29,7.54,6.89,6.55,6.28
8.76,8.71,11.36,6.52,7.5,7.52,9.13,7.73,6.18,6.71,6.04
8.65,8.44,12.21,6.97,7.59,7.74,9.95,7.57,6.19,6.71,5.97
8.54,8.55,12.29,6.6,7.61,7.99,9.2,7.43,6.4,6.66,6.1
8.68,8.67,11.83,6.51,7.64,8.14,9.62,7.49,6.4,6.68,6.18
8.71,8.64,12.18,6.54,7.75,8.18,9.32,7.66,6.58,6.62,6.26
8.85,9.21,11.79,6.44,7.61,8.05,9.53,7.55,6.71,6.56,6.03
10.2,9.41,12.66,6.53,7.69,8.06,9.38,7.59,7.07,6.5,6.12
10.5,9.86,13.91,6.68,7.68,8.78,10.23,7.48,7.56,6.51,6.12
10.75,9.78,14.39,6.71,7.99,9.21,10.81,7.6,7.73,6.47,6.27
10.59,9.78,14.28,6.61,8.18,9.44,10.61,7.44,7.57,6.61,6.35
10.31,9.62,14.32,6.53,8.07,8.66,10.65,7.51,7.41,6.68,6.37
9.7,8.85,13.09,6.33,8.04,8.26,9.21,7.62,7.0,6.69,6.3
8.88,8.64,12.39,6.45,7.97,7.73,8.21,7.69,6.2,6.86,6.21
8.69,8.43,12.17,6.49,7.86,7.76,8.51,7.63,6.35,6.97,6.08
8.65,8.53,12.4,6.54,8.12,7.81,8.6,7.98,6.47,6.92,6.25
8.75,8.8,12.21,6.48,8.15,8.31,8.6,8.13,6.58,6.89,6.44
8.79,8.74,11.91,6.51,8.15,8.31,8.59,7.97,6.59,6.86,6.48
9.33,9.18,12.09,6.34,8.02,8.07,8.4,7.97,6.58,6.7,6.58
10.06,9.15,12.64,6.53,8.21,8.2,8.5,7.95,6.95,6.65,6.48
10.5,9.9,13.96,6.91,8.16,9.05,9.11,7.92,7.58,6.4,6.43
10.76,10.19,14.64,6.71,8.47,9.47,10.21,7.97,7.7,6.65,6.57
10.55,10.15,14.23,6.63,8.42,9.8,10.06,7.97,7.58,6.69,6.52
10.22,9.96,13.97,5.74,8.7,9.13,9.94,7.98,7.77,6.74,6.81
9.76,9.28,13.24,6.24,8.11,9.46,8.72,8.08,7.61,6.73,6.86
8.8,9.34,12.52,6.37,8.08,8.35,7.41,8.29,6.82,6.95,6.83
8.73,9.02,12.03,6.12,8.28,8.39,7.97,8.23,6.98,7.07,6.76
8.68,8.72,12.74,6.69,8.19,8.37,8.25,8.27,7.27,7.06,6.88
8.72,8.85,12.46,6.65,8.11,8.51,8.63,8.26,7.31,7.09,7.15
8.81,8.91,12.31,6.64,8.14,8.33,8.41,8.26,7.28,7.08,7.22
9.39,8.95,12.37,6.61,7.99,8.07,8.31,8.18,7.43,6.94,7.06
10.29,9.14,12.87,6.48,8.2,8.5,8.57,8.13,7.82,6.73,7.18
10.55,9.8,14.67,7.11,8.16,9.34,9.42,8.06,8.54,6.77,7.19
10.69,10.06,14.26,7.49,8.38,9.69,10.03,8.19,8.59,6.81,7.41
10.65,9.99,15.2,7.52,8.44,9.74,9.82,8.16,8.46,6.88,7.1
10.3,9.85,15.51,6.74,8.34,9.2,9.69,8.14,8.33,6.84,7.25
9.89,9.5,13.29,6.9,8.37,8.78,8.84,8.21,7.73,6.89,7.39
9.04,9.37,12.88,6.87,8.3,8.24,7.57,8.37,7.47,7.06,7.25
8.97,9.14,12.67,6.95,8.35,8.59,8.36,8.3,7.42,7.08,7.26
9.08,9.31,13.03,7.1,8.34,8.71,8.21,8.39,7.51,7.19,7.39
9.3,9.53,12.98,7.07,8.28,8.94,8.1,8.45,7.63,7.24,7.62
9.3,9.47,12.84,6.99,8.51,8.95,8.07,8.37,7.71,7.12,7.46
9.76,9.47,12.98,6.95,8.42,8.58,8.33,8.28,7.69,7.05,7.43
10.47,9.61,13.8,7.0,8.56,8.94,8.3,8.34,8.2,6.86,7.55
10.81,10.44,15.84,7.97,8.75,9.92,9.23,8.34,8.79,6.86,7.47
11.1,10.5,15.78,8.19,8.85,10.16,10.27,8.49,8.85,7.03,7.4
10.91,10.52,15.66,8.12,8.75,10.23,10.01,8.35,8.82,7.01,7.62
10.66,10.39,15.66,7.72,8.62,9.46,9.93,8.35,8.7,7.03,7.61
10.11,9.8,14.64,7.75,8.69,9.02,9.39,8.52,8.23,7.06,7.87
9.22,9.72,14.02,7.69,8.56,8.65,8.15,8.63,7.58,7.22,7.54
9.37,9.51,13.23,7.85,8.63,8.8,8.93,8.66,7.7,7.33,7.7
9.27,9.52,13.86,7.63,8.59,8.98,9.11,8.7,7.66,7.29,7.49
9.46,9.69,13.65,7.58,8.52,8.99,9.11,8.85,7.81,7.43,7.73
9.27,9.64,13.59,7.63,8.7,9.21,9.15,8.69,7.9,7.29,7.83
9.79,9.87,11.74,7.57,8.26,9.19,9.09,8.52,7.78,7.14,7.7
10.62,9.97,14.47,7.6,8.38,9.35,9.18,8.58,8.42,6.96,7.73
10.91,10.81,15.99,8.19,8.48,10.4,10.06,8.51,9.09,6.8,7.83
11.12,10.82,17.05,8.42,8.75,10.79,11.08,8.77,9.13,7.09,7.76
10.89,10.7,17.25,8.33,8.77,10.59,10.47,8.67,8.91,7.07,7.82
10.67,10.56,17.3,8.11,8.81,9.87,10.6,8.66,8.91,7.11,7.89
10.04,9.76,15.36,7.81,8.76,9.78,9.98,8.66,8.28,7.1,7.9
9.24,9.58,15.16,8.01,8.7,8.98,8.21,8.81,8.15,7.18,7.77
9.18,9.46,14.46,7.91,8.35,9.11,9.0,8.71,7.78,6.95,7.77
9.34,9.47,14.55,8.01,9.3,9.6,9.18,8.69,7.84,7.28,7.75
9.46,9.81,14.3,7.86,8.67,9.56,9.13,8.71,7.96,7.36,7.98
9.51,9.78,14.22,7.86,8.92,9.37,9.11,8.73,8.12,7.23,8.23
10.0,9.87,12.64,7.79,8.79,9.21,9.05,8.68,8.07,7.16,7.98
10.68,9.9,14.76,8.42,8.96,9.31,9.19,8.64,8.57,7.13,8.05
11.25,10.08,16.12,8.38,9.07,10.25,10.16,8.78,9.19,7.4,8.0
11.37,10.47,17.31,8.38,9.14,10.49,10.32,8.97,9.46,7.48,8.02
11.16,10.4,17.19,8.34,8.92,10.34,10.26,8.6,9.09,7.37,8.02
11.0,10.24,17.36,8.0,8.8,9.87,10.24,8.67,9.28,7.4,7.91
10.24,9.82,15.62,7.9,8.79,9.47,9.14,8.75,8.46,7.47,8.09
9.17,9.68,15.03,7.78,8.71,8.92,8.09,8.88,8.02,7.71,7.9
9.15,9.61,14.41,8.02,8.65,8.64,8.47,8.82,7.99,7.76,7.76
9.2,9.07,14.67,7.95,8.57,9.0,8.14,8.78,8.17,7.77,7.93
9.36,9.22,14.45,7.98,8.57,8.57,8.09,8.8,8.22,7.77,8.24
9.38,9.19,14.26,8.0,8.84,8.61,7.93,8.78,8.2,7.71,8.18
9.84,9.5,12.6,7.83,8.64,8.31,7.66,8.65,8.24,7.51,8.15
10.74,9.49,14.86,7.79,8.85,8.53,7.97,8.75,8.65,7.46,8.29
11.03,10.36,16.14,8.44,9.06,9.39,8.8,8.74,9.65,7.52,8.28
11.25,10.35,16.85,8.35,9.13,9.82,9.18,8.8,9.46,7.64,8.18
11.14,10.42,17.07,8.29,9.07,9.93,9.23,8.88,9.46,7.64,8.34
