,North,South,Mid-West,West
count,251.0,251.0,251.0,251.0
mean,130368.42209948205,473168.2336181672,85267.84125892428,157466.5621771313
std,39320.111973839645,133455.04157115152,36786.3602442729,34593.13703101304
min,62619.856999999996,240128.202,41175.952,92630.91374
25%,99397.782665,357701.86973000003,54934.94698000001,132153.712575
50%,125531.18498999998,466204.83433999994,72543.94257000001,152797.24399999998
75%,152870.37707,560091.22248,109277.12036,179980.4724
max,269401.57801999996,852312.9809999999,202940.63700000005,241013.9647
