,AZ,CO,CA,ID,MT,NM,NV,OR,UT,WA,WY
201801,13549.916000000001,11852.991,59427.32045,2582.243,1415.5349999999999,6169.424,15041.401000000002,11118.766,5790.396,6232.55454,3527.083
201712,17315.433,10415.395999999999,66283.73866999999,3826.999,1460.0069999999998,7069.43,15071.283000000001,15405.646,5971.123,11526.08018,3635.9709999999995
201711,14519.178,8051.321,63008.33618,3537.944,1244.1660000000002,5825.496,14342.58,11640.421999999999,4375.142,8606.95912,3301.1369999999997
201710,23314.133,7607.545,73809.39467,1908.357,1184.532,6849.769,17134.604,12635.182,3992.122,11016.344270000001,3365.142
201709,26544.696,10463.985999999999,78150.33888000001,4363.506,1312.398,7331.522,18029.7,12517.252,5467.231,10426.35392,3375.009
201708,33038.479,12467.258,94384.86567,3664.814,1603.813,8820.393,22938.129,15252.787,8194.079,13555.041210000001,3846.785
201707,36226.897,14117.519,82743.85553,3642.3109999999997,1416.693,10182.067,23453.063,12112.857999999998,7248.448,10140.065649999999,3626.286
201706,29204.350000000002,10281.007,63630.347760000004,1066.51,755.463,9007.949,19605.525,2759.788,5400.159000000001,2313.02542,3007.412
201705,20408.635,8540.932,49064.022399999994,742.145,797.251,6868.333,14844.903,2017.139,4283.608,2670.30613,3234.763
201704,15361.106,8451.604,39795.1793,668.844,849.859,5491.9619999999995,12209.852,2194.205,3761.608,3066.48585,2894.582
201703,8602.354,7207.843,44749.48366,562.464,974.455,6301.476000000001,13150.62,3534.52,3867.211,2899.92658,3236.207
201702,6831.215,7114.097,51259.626090000005,1860.492,1160.1,6054.825,13455.446,7661.684,4448.713,5482.54756,3063.489
201701,11226.839,9973.219000000001,67626.61353999999,4246.380999999999,1396.237,7578.426,16527.723,14304.419,7107.489,10716.144549999999,3748.951
201612,11312.351,9108.304,66995.49797000001,2496.081,1224.489,7438.401,16676.7,13200.672999999999,6417.527,8795.42096,3848.3629999999994
201611,13413.745,7253.59,60506.99648,1273.224,1211.558,6270.796,16404.306,8519.862,5164.654,5382.81796,3352.697
201610,22502.801000000003,7408.757,76562.54008,1850.149,1355.5529999999999,8162.92,16052.696,8468.085,5852.799,5649.14323,3215.875
201609,30372.986,8291.36,77533.24927,3474.556,1498.324,7865.9169999999995,18050.944000000003,13741.021,6458.492,11524.487280000001,3059.11
201608,38031.947,11840.463,94142.08115,4249.871,1673.778,9254.965999999999,23046.45,14839.769,8428.265,13376.57922,3444.026
201607,38428.832,13420.631,86091.39008,3230.726,1650.286,10226.213,23713.716,11055.356,8842.856,10307.507130000002,3400.2950000000005
201606,32739.594999999998,11887.428,74277.40834,2354.1400000000003,1166.245,8706.066,22307.964,8500.846,8377.234,6431.31063,3187.723
201605,21613.144,9236.237,49669.64012,1771.2469999999998,792.3330000000001,7092.548,17870.966,3987.623,6831.209,4967.8601,3244.392
201604,19694.19,9881.068,46376.349,946.3059999999999,1018.165,6719.526,15583.697,3501.634,6624.383,2807.5189499999997,2825.489
201603,15182.669,8613.861,48731.3747,2382.213,1047.1309999999999,6999.486,16167.16,7689.2300000000005,6212.9980000000005,4487.29624,3154.015
201602,13727.737000000001,7654.862,59682.057179999996,3271.333,1152.981,6735.758,15578.036,9821.963,5911.738,7635.75141,3217.677
201601,16831.93,9435.761,73842.44456999999,3812.129,1394.121,7950.642,18819.665999999997,10968.992,6899.4,10941.57456,3505.1009999999997
201512,19092.153,10054.035,77770.55050000001,3178.5789999999997,1679.7289999999998,8253.565,18674.623,12461.056999999999,7593.625,10407.203,3490.416
201511,19162.658000000003,10972.69,73242.13063,2626.94,1526.1,6749.564,15806.027,11761.628,6743.683,11469.142,3367.4750000000004
201510,26239.316,9109.032000000001,99858.98934,2787.303,1458.6039999999998,7231.942,18689.343,11584.962,6417.8369999999995,12026.229,3303.197
201509,32888.378,10806.48,103585.76182999999,3158.903,998.024,7687.004,20814.212,12320.869,7454.311,11700.695,3510.777
201508,40173.381,11632.584,104851.75224,3999.467,1652.67,9917.273,23746.151,12342.563,8793.618,11820.474,3903.4929999999995
201507,35883.551,11101.045,99325.83953,3370.3599999999997,1304.9969999999998,9206.206,21469.393,12994.622,8314.475,13286.572,3568.352
201506,32542.841,9622.609,87941.99692,3640.196,1346.155,7767.29,21888.870000000003,10912.608,7933.215,10774.768,3429.4
201505,14935.682,6334.326999999999,62823.42845,2259.98,1184.926,5969.201999999999,15838.233,7622.764,6785.553,6347.75,2950.939
201504,14741.881,7137.4800000000005,64587.100399999996,1473.546,783.673,7453.993,16432.381,7927.843000000001,5650.674,4720.3279999999995,3043.714
201503,10968.948,7841.611999999999,66508.32612,1019.376,1947.288,7276.8279999999995,13956.014,6636.417,5388.19,4854.223,3299.895
201502,9953.057,7281.8060000000005,57687.1489,574.6940000000001,1444.599,6541.2660000000005,13720.568000000001,4815.9619999999995,5147.323,2179.043,2901.2729999999997
201501,13163.896,8361.526,75515.15001,2467.128,1590.143,7682.7300000000005,13483.756,8806.803,6118.558,5586.968,3373.3910000000005
201412,11442.155,10338.03,80045.31437000001,1341.825,1347.354,7922.278,14131.24,9371.126999999999,6806.535,7281.8859999999995,3436.3109999999997
201411,16018.321,10517.335,73692.40255,1602.403,1684.944,6721.282,13411.11,10014.325,7101.870000000001,7382.593,3255.956
201410,21963.294,10442.591,101343.17536000001,1306.108,1377.255,6223.54,16416.842,10478.073,6984.187,10339.167000000001,2980.322
201409,29516.665999999997,10275.768999999998,102685.44117,2487.8799999999997,1170.8560000000002,7098.034,18755.314,11670.793,7488.713000000001,13121.426000000001,3205.785
201408,32319.102,10228.75,98040.61724,2918.3109999999997,1629.661,9849.868999999999,19400.15,11209.817,8886.850999999999,13181.391,3113.636
201407,34380.005,11964.659,96032.23486,2272.212,1153.314,9077.659,20564.113,8673.031,9582.578,8940.704,3028.2019999999998
201406,24950.280000000002,9383.065,69011.12638999999,805.717,939.0540000000001,8524.924,14774.882,2835.2549999999997,8209.935,2693.485,2693.484
201405,16021.877,9406.403,70205.9365,1173.244,631.1220000000001,7785.298,12727.411,3345.364,5903.865000000001,2834.3430000000003,2786.89
201404,11127.712,6685.782999999999,69333.12355999999,385.44100000000003,1463.645,7226.512,11286.525,2746.55,4777.011,3001.129,2737.152
201403,7587.603,9572.105000000001,72437.35388,538.425,1820.6709999999998,7265.086,9325.182999999999,3439.674,5664.352999999999,4827.214,3106.639
201402,11970.149,8037.9439999999995,82257.70864,2284.133,1625.003,6103.040999999999,10530.341,11166.047,5729.807,9201.073999999999,3151.916
201401,12939.613000000001,8183.907999999999,87144.66643000001,2950.228,1376.536,6867.1759999999995,11633.067,12453.108,6740.586,10556.503999999999,4750.124
201312,20711.76,10751.106,98697.69842,3518.5730000000003,1674.156,7603.5419999999995,15434.297999999999,13428.07,7716.911,12538.883,3583.898
201311,13910.639000000001,7226.229,84770.30995,2317.4390000000003,1274.795,6668.992,13273.676,10968.068,6549.758,8892.349,3423.462
201310,17500.047000000002,7002.793,84863.88054,1680.592,941.2940000000001,6088.71,14563.967999999999,9854.885999999999,6693.687,11166.999,3295.072
201309,29183.196,10141.798999999999,99480.07214,3030.725,1031.819,8209.171,15949.014000000001,9644.453,7002.585,10970.233,2975.165
