,AZ,CO,CA,ID,MT,NM,NV,OR,UT,WA,WY
200909,31844.936999999998,10699.425000000001,113897.261,1849.53,919.0559999999999,7220.15,18664.592,14384.485999999999,6467.094999999999,14605.608,2874.582
200908,38704.55499999999,12987.961,106200.626,2198.574,883.55,9130.776,21224.888,13844.505000000001,6280.187,16115.203000000001,2941.5060000000003
200907,40995.125,13210.525,104211.91,1374.564,864.9559999999999,9438.008,21916.704,11924.765000000001,6786.995000000001,13357.521,2719.577
200906,22946.098,10279.55,58288.82,156.611,591.149,7780.814,16712.035,2801.524,4831.298,1774.083,2457.174
200905,26427.628,9693.597,63866.491,609.904,634.407,6662.134,18092.958000000002,1947.3519999999999,5356.388,1753.712,2370.84
200904,16751.529,11504.533,62033.245,652.635,730.488,6255.321,12615.396999999999,5143.733,4808.975,2604.9570000000003,2252.215
200903,15085.989,12364.809,68503.951,902.5120000000001,1139.0310000000002,7634.515,15384.693,11497.953,5889.453,7624.78,2963.624
200902,15605.927,10927.561,73299.20199999999,1265.01,1130.309,6231.441999999999,14597.916,11592.357,6071.949,8801.355,2932.405
200901,15047.507,10792.695,80446.487,1069.867,1248.279,7352.1669999999995,15451.435,10321.268999999998,6612.941,4013.587,3308.509
200812,20529.639000000003,11033.808,89064.892,1509.528,1256.7079999999999,8114.77,16321.798999999999,13065.808,6255.168000000001,7300.273,3183.067
200811,18616.834000000003,10023.547999999999,81884.216,860.2330000000001,1159.424,6623.29,13908.176,11432.436000000002,5882.918000000001,5577.025000000001,2722.283
200810,26840.491,11517.314,92604.49600000001,1234.1399999999999,1174.979,8191.656,15625.973,12563.86,6529.761,6886.624000000001,2748.4240000000004
200809,32718.933,10658.755000000001,98476.584,1420.431,1090.299,6983.983,17774.917999999998,12062.382000000001,7026.338,11892.301,2784.233
200808,38057.521,12653.223,110200.648,1387.924,1160.9449999999997,8129.929999999999,21615.641,12705.634,7659.9400000000005,12183.276999999998,2928.995
200807,36817.899000000005,13869.133,94207.486,687.9870000000001,1069.79,8276.136,19132.738,8225.994,6503.888,4504.637,3002.2690000000002
200806,30132.633,9453.866,73676.93999999999,99.096,807.7560000000001,8044.3189999999995,15174.707999999999,1890.045,4993.713,876.893,2628.125
200805,20800.86,8328.220000000001,67005.36300000001,380.50800000000004,928.587,7470.928,13998.446,6038.085999999999,5102.323,1839.143,2615.903
200804,22693.822,9034.981,81082.849,1621.553,1130.7169999999999,6470.302,13012.087,11899.868999999999,6184.891,9338.685,2578.1679999999997
200803,14437.604000000001,10265.51,71472.292,1435.4679999999998,1237.4199999999998,6038.856,13434.433,12635.642,5824.568,7385.709,3023.986
200802,20293.985,9051.196,75525.22300000001,1574.338,1159.129,5490.631,13268.267,12970.022,6163.558,7686.51,3071.479
200801,26116.005,10639.592,90544.585,1916.185,1275.873,6571.545,14244.123,13905.806,6592.938,9250.206,3281.8099999999995
200712,24938.64,12487.183,93506.171,1908.893,1204.299,6263.512000000001,12765.878,14148.736,6692.209000000001,6946.947999999999,3508.678
200711,22520.445,11948.497000000001,85074.379,1694.818,1211.7089999999998,5923.364,10657.779999999999,12484.359,6855.795999999999,7044.946,3070.2560000000003
200710,26016.137,13433.257,91179.321,1950.481,1246.458,6910.235,12789.213,12471.024,7579.0509999999995,9835.083999999999,3084.22
200709,31300.373000000003,14988.687,94914.15100000001,1720.3380000000002,1239.63,7670.234,16802.939,12741.256,7882.299,9211.654999999999,3160.0370000000003
200708,38165.556,13945.711,124131.121,1563.04,1164.196,9563.005,19670.422,13213.303000000002,7067.955,8539.253999999999,3242.233
200707,40827.25,14982.252999999999,111729.714,1041.69,1262.912,8498.151,20407.782,11363.012999999999,6658.5,7271.3730000000005,3069.207
