AZ Price,CO Price,CA Price,ID Price,MT Price,NM Price,NV Price,OR Price,UT Price,WA Price,WY Price
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,120.37,0,107.69,0.0,86.15,0.0
0.0,0.0,0,0,0,126.61,0,0.0,0.0,94.84,0.0
146.83,0.0,0,0,0,149.65,0,0.0,0.0,106.55,0.0
0.0,0.0,0,0,0,159.71,0,0.0,0.0,105.51,0.0
0.0,0.0,0,0,0,150.09,0,0.0,0.0,101.27,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,115.23,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,78.13,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,108.09,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,120.99,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,111.81
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,130.78
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,116.57
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,140.58
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,123.58
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,92.32
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,114.81
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,144.37
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,120.68
133.79,0.0,0,0,0,0.0,0,0.0,0.0,0.0,103.2
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,118.34
133.91,0.0,0,0,0,0.0,0,0.0,0.0,0.0,112.74
151.43,0.0,0,0,0,0.0,0,0.0,0.0,0.0,147.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
141.8,0.0,0,0,0,0.0,0,0.0,0.0,0.0,136.93
129.4,0.0,0,0,0,0.0,0,0.0,0.0,0.0,132.71
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,129.91
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,137.95
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,133.03
136.05,0.0,0,0,0,0.0,0,0.0,0.0,0.0,138.44
132.38,0.0,0,0,0,0.0,0,0.0,0.0,0.0,133.57
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,138.42
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,137.4
131.69,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,129.66
