CT Price,ME Price,MA Price,MO Price,NE Price,NH Price,NJ Price,NY Price,PA Price,RI Price,VT Price
158.4,0.0,127.38,130.27,0.0,0.0,0.0,0.0,0.0,0.0,0
153.42,0.0,0.0,129.28,0.0,0.0,136.49,0.0,0.0,0.0,0
0.0,0.0,0.0,127.77,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,127.69,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,123.72,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,126.05,0.0,0.0,123.8,0.0,0.0,0.0,0
0.0,0.0,0.0,119.29,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,100.44,115.96,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,117.24,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,90.6,0.0,0.0,0.0,67.68,0.0,0.0,0
89.02,0.0,0.0,64.42,0.0,0.0,73.0,78.96,0.0,0.0,0
0.0,0.0,0.0,84.1,0.0,0.0,0.0,0.0,0.0,0.0,0
96.41,0.0,0.0,79.77,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,76.31,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,85.97,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,81.8,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,77.28,0.0,0.0,0.0,81.27,0.0,0.0,0
0.0,0.0,0.0,70.74,0.0,0.0,65.53,0.0,0.0,0.0,0
0.0,0.0,50.49,70.05,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,51.34,82.97,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,58.74,66.98,0.0,0.0,60.62,0.0,0.0,0.0,0
0.0,0.0,0.0,53.79,0.0,0.0,49.77,0.0,0.0,0.0,0
0.0,0.0,0.0,46.47,0.0,0.0,0.0,0.0,0.0,0.0,0
50.52,0.0,0.0,46.57,0.0,0.0,0.0,36.52,0.0,0.0,0
0.0,0.0,0.0,53.32,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,55.54,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,64.27,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,67.31,0.0,0.0,0.0,76.21,0.0,0.0,0
0.0,0.0,0.0,64.17,0.0,0.0,0.0,0.0,0.0,0.0,0
62.37,0.0,0.0,68.06,0.0,0.0,0.0,69.52,0.0,0.0,0
67.96,0.0,0.0,0.0,0.0,0.0,0.0,67.56,0.0,0.0,0
0.0,0.0,0.0,68.66,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,65.2,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,70.87,0.0,0.0,54.66,0.0,0.0,0.0,0
82.41,0.0,0.0,73.77,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,70.95,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,69.45,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,73.22,0.0,0.0,0.0,101.01,0.0,0.0,0
0.0,0.0,0.0,68.16,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,62.58,0.0,0.0,0.0,67.88,0.0,0.0,0
0.0,0.0,0.0,68.24,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,74.61,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,82.3,0.0,0.0,0.0,0.0,0.0,0.0,0
93.59,0.0,0.0,85.86,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,85.27,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,76.91,90.81,0.0,0.0,0.0,0.0,0.0,84.98,0
85.55,0.0,0.0,86.4,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,84.3,0.0,0.0,89.35,0.0,0.0,0.0,0
89.34,0.0,0.0,88.76,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,96.45,0.0,0.0,0.0,79.27,0.0,0.0,0
0.0,0.0,0.0,95.04,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,103.16,97.1,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,94.26,0.0,0.0,0.0,0.0,0.0,0.0,0
98.02,0.0,0.0,100.22,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,104.43,0.0,0.0,97.88,86.43,0.0,0.0,0
88.64,0.0,91.89,89.98,0.0,0.0,0.0,95.74,0.0,0.0,0
84.23,0.0,0.0,75.83,0.0,0.0,0.0,0.0,0.0,0.0,0
92.93,0.0,0.0,76.43,0.0,0.0,0.0,0.0,0.0,0.0,0
96.9,0.0,0.0,85.68,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,89.53,0.0,0.0,88.59,81.59,0.0,0.0,0
0.0,0.0,0.0,92.15,0.0,0.0,94.96,105.11,0.0,0.0,0
0.0,0.0,0.0,89.97,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,80.86,0.0,0.0,81.6,73.9,0.0,0.0,0
0.0,0.0,0.0,83.33,0.0,0.0,82.32,85.81,0.0,0.0,0
0.0,0.0,0.0,80.97,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,80.29,0.0,0.0,74.75,0.0,0.0,0.0,0
0.0,0.0,0.0,86.9,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,85.1,0.0,0.0,0.0,0.0,0.0,0.0,0
97.4,0.0,0.0,83.99,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,78.22,0.0,0.0,101.4,91.0,0.0,0.0,0
0.0,0.0,0.0,71.68,0.0,0.0,0.0,81.4,0.0,0.0,0
0.0,0.0,0.0,52.11,69.27,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,39.63,0.0,0.0,0.0,53.22,0.0,0.0,0
0.0,0.0,0.0,38.33,0.0,0.0,49.65,34.32,0.0,0.0,0
0.0,0.0,0.0,49.31,61.86,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,55.16,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,51.28,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,51.84,80.21,0.0,62.76,60.46,0.0,0.0,0
0.0,0.0,0.0,60.9,71.1,0.0,82.11,0.0,0.0,0.0,0
0.0,0.0,0.0,64.03,78.32,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,69.53,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,82.82,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,89.19,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,84.19,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,90.8,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,94.17,0.0,0.0,0.0,0.0,89.44,0.0,0
0.0,0.0,0.0,94.88,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,92.85,0.0,0.0,0.0,0.0,86.69,0.0,0
0.0,0.0,0.0,98.2,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,108.54,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,108.2,0.0,0.0,0.0,0.0,0.0,0.0,0
