AZ Price,CO Price,CA Price,ID Price,MT Price,NM Price,NV Price,OR Price,UT Price,WA Price,WY Price
38.14,33.52,0.0,0,0,43.77,0,0,0.0,0,0.0
37.58,32.92,0.0,0,0,41.48,0,0,0.0,0,0.0
39.01,34.8,0.0,0,0,0.0,0,0,39.06,0,0.0
38.61,34.45,0.0,0,0,42.0,0,0,41.84,0,0.0
42.57,34.04,0.0,0,0,43.51,0,0,43.5,0,0.0
41.47,34.55,0.0,0,0,31.27,0,0,0.0,0,0.0
41.57,36.88,0.0,0,0,31.63,0,0,0.0,0,0.0
42.47,38.8,0.0,0,0,0.0,0,0,0.0,0,0.0
41.64,34.9,0.0,0,0,30.9,0,0,0.0,0,0.0
41.72,38.24,0.0,0,0,29.35,0,0,0.0,0,0.0
41.05,34.08,0.0,0,0,35.49,0,0,0.0,0,0.0
41.09,35.92,0.0,0,0,33.95,0,0,0.0,0,0.0
41.77,36.44,0.0,0,0,35.83,0,0,0.0,0,0.0
40.33,32.89,0.0,0,0,37.33,0,0,0.0,0,0.0
42.0,32.36,0.0,0,0,38.52,0,0,40.6,0,0.0
40.49,29.91,0.0,0,0,0.0,0,0,41.76,0,0.0
42.57,34.12,0.0,0,0,0.0,0,0,41.83,0,0.0
44.72,32.95,0.0,0,0,30.91,0,0,42.42,0,0.0
42.79,35.89,0.0,0,0,0.0,0,0,41.97,0,0.0
43.41,35.69,0.0,0,0,0.0,0,0,41.71,0,0.0
46.14,34.52,0.0,0,0,36.16,0,0,0.0,0,0.0
43.88,34.22,0.0,0,0,35.94,0,0,0.0,0,0.0
44.66,30.61,0.0,0,0,39.11,0,0,0.0,0,0.0
41.16,31.5,0.0,0,0,40.26,0,0,0.0,0,0.0
0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0
43.55,32.02,0.0,0,0,36.08,0,0,0.0,0,0.0
42.58,33.18,0.0,0,0,39.47,0,0,44.5,0,0.0
43.35,30.73,0.0,0,0,33.76,0,0,41.32,0,0.0
47.37,30.1,0.0,0,0,45.55,0,0,44.3,0,0.0
47.88,31.35,0.0,0,0,0.0,0,0,44.25,0,0.0
47.14,29.39,0.0,0,0,43.11,0,0,44.44,0,0.0
46.16,28.75,0.0,0,0,44.61,0,0,44.26,0,0.0
51.63,28.85,0.0,0,0,44.48,0,0,44.2,0,0.0
48.48,30.96,0.0,0,0,46.34,0,0,44.59,0,0.0
47.92,30.97,0.0,0,0,0.0,0,0,44.71,0,0.0
47.62,32.39,0.0,0,0,0.0,0,0,44.42,0,0.0
45.63,31.52,0.0,0,0,0.0,0,0,43.47,0,0.0
46.72,27.99,0.0,0,0,0.0,0,0,42.51,0,0.0
44.2,29.11,0.0,0,0,0.0,0,0,43.49,0,0.0
48.95,28.89,0.0,0,0,0.0,0,0,43.0,0,0.0
51.94,33.13,0.0,0,0,49.31,0,0,42.27,0,0.0
50.61,33.25,0.0,0,0,0.0,0,0,42.84,0,0.0
51.7,33.71,0.0,0,0,31.68,0,0,44.75,0,0.0
50.23,34.33,0.0,0,0,49.15,0,0,42.88,0,0.0
57.39,30.17,0.0,0,0,44.57,0,0,44.38,0,0.0
50.33,34.66,0.0,0,0,45.91,0,0,43.32,0,0.0
50.72,33.28,0.0,0,0,45.97,0,0,44.01,0,0.0
52.01,32.79,0.0,0,0,46.82,0,0,41.86,0,0.0
42.83,31.54,0.0,0,0,41.12,0,0,43.77,0,0.0
41.46,31.72,0.0,0,0,48.82,0,0,42.74,0,0.0
40.81,29.16,0.0,0,0,48.66,0,0,43.43,0,0.0
40.08,30.45,0.0,0,0,0.0,0,0,42.63,0,0.0
39.09,30.7,0.0,0,0,0.0,0,0,45.18,0,0.0
40.59,31.21,0.0,0,0,45.66,0,0,45.72,0,0.0
38.31,34.15,0.0,0,0,44.86,0,0,45.39,0,0.0
38.56,31.99,0.0,0,0,46.21,0,0,45.41,0,0.0
40.55,30.11,0.0,0,0,0.0,0,0,45.77,0,0.0
38.99,31.41,0.0,0,0,0.0,0,0,45.16,0,0.0
39.3,35.72,0.0,0,0,0.0,0,0,45.01,0,0.0
37.94,31.11,0.0,0,0,0.0,0,0,44.72,0,0.0
39.13,30.76,0.0,0,0,0.0,0,0,44.74,0,0.0
38.47,30.97,0.0,0,0,0.0,0,0,44.73,0,0.0
38.59,32.46,0.0,0,0,0.0,0,0,44.17,0,0.0
37.48,32.49,0.0,0,0,0.0,0,0,43.71,0,0.0
38.97,31.52,0.0,0,0,0.0,0,0,43.79,0,0.0
38.37,31.05,0.0,0,0,0.0,0,0,44.26,0,0.0
37.71,30.9,0.0,0,0,0.0,0,0,44.6,0,0.0
44.32,30.41,0.0,0,0,0.0,0,0,44.11,0,0.0
41.88,27.84,0.0,0,0,0.0,0,0,44.5,0,0.0
42.4,29.66,0.0,0,0,0.0,0,0,44.23,0,0.0
42.71,29.05,0.0,0,0,0.0,0,0,44.39,0,0.0
42.02,29.9,0.0,0,0,0.0,0,0,44.81,0,0.0
41.7,28.99,0.0,0,0,0.0,0,0,44.19,0,0.0
42.61,29.85,0.0,0,0,0.0,0,0,42.44,0,38.26
45.46,29.32,0.0,0,0,0.0,0,0,43.39,0,28.67
