CT Price,ME Price,MA Price,MO Price,NE Price,NH Price,NJ Price,NY Price,PA Price,RI Price,VT Price
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
0,0,0.0,29.13,0,0,106.95,0.0,0.0,0,0
0,0,0.0,29.57,0,0,107.16,0.0,0.0,0,0
0,0,0.0,30.05,0,0,107.69,0.0,0.0,0,0
0,0,0.0,30.52,0,0,106.32,0.0,0.0,0,0
0,0,0.0,30.5,0,0,103.59,0.0,0.0,0,0
0,0,0.0,30.82,0,0,102.81,0.0,0.0,0,0
0,0,0.0,31.25,0,0,106.59,0.0,0.0,0,0
0,0,0.0,31.33,0,0,105.64,0.0,0.0,0,0
0,0,0.0,31.38,0,0,109.86,0.0,0.0,0,0
0,0,0.0,30.94,0,0,106.2,0.0,0.0,0,0
0,0,0.0,30.1,0,0,108.79,0.0,0.0,0,0
0,0,101.68,30.32,0,0,91.79,0.0,0.0,0,0
0,0,0.0,0.0,0,0,105.22,0.0,0.0,0,0
