AL Price,AR Price,DE Price,FL Price,GA Price,KY Price,LA Price,MD Price,MS Price,NC Price,OK Price,SC Price,TN Price,TX Price,VA Price,WV Price
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.49,0.0,0,86.48,81.74,52.34,0,0.0,0,87.6,30.03,94.07,0.0,28.38,0.0,56.56
58.7,0.0,0,84.64,85.24,52.06,0,0.0,0,87.34,29.94,91.28,0.0,27.88,85.87,58.7
53.81,32.09,0,84.6,78.85,51.84,0,0.0,0,86.49,0.0,94.38,0.0,0.0,86.43,57.57
58.95,0.0,0,88.77,75.89,52.84,0,0.0,0,0.0,30.49,90.48,0.0,0.0,86.7,56.93
62.5,0.0,0,88.25,82.39,53.83,0,0.0,0,87.27,30.69,94.24,0.0,0.0,87.73,57.38
63.71,31.88,0,84.47,80.72,52.42,0,0.0,0,88.07,0.0,91.47,0.0,0.0,87.19,0.0
66.16,32.13,0,85.82,84.84,52.9,0,0.0,0,89.41,0.0,97.19,0.0,0.0,89.68,0.0
65.29,35.24,0,88.19,84.84,53.78,0,0.0,0,90.54,0.0,100.0,0.0,0.0,90.11,63.42
62.48,0.0,0,82.22,78.93,53.36,0,0.0,0,89.66,32.14,96.25,0.0,0.0,89.08,0.0
56.76,0.0,0,84.96,76.52,52.82,0,0.0,0,0.0,31.68,97.91,0.0,0.0,88.66,60.52
57.23,0.0,0,83.53,75.04,53.37,0,0.0,0,90.76,31.52,99.57,0.0,0.0,0.0,60.85
58.36,0.0,0,82.63,77.53,54.45,0,0.0,0,90.66,33.24,96.75,0.0,0.0,0.0,0.0
0.0,0.0,0,85.27,76.68,55.34,0,0.0,0,0.0,0.0,99.27,0.0,29.66,0.0,0.0
0.0,0.0,0,82.61,0.0,55.05,0,0.0,0,0.0,0.0,100.21,0.0,28.47,0.0,0.0
0.0,0.0,0,82.75,0.0,54.53,0,0.0,0,0.0,0.0,100.9,0.0,28.79,0.0,0.0
0.0,0.0,0,86.46,72.41,56.38,0,0.0,0,0.0,0.0,103.17,0.0,28.73,0.0,0.0
0.0,0.0,0,0.0,0.0,55.6,0,0.0,0,0.0,0.0,0.0,0.0,29.63,0.0,0.0
0.0,0.0,0,0.0,0.0,54.77,0,0.0,0,0.0,0.0,0.0,0.0,28.56,0.0,0.0
0.0,0.0,0,0.0,74.49,55.45,0,0.0,0,0.0,0.0,0.0,0.0,29.52,0.0,0.0
0.0,0.0,0,0.0,73.16,56.4,0,0.0,0,0.0,34.92,0.0,0.0,29.2,0.0,0.0
0.0,0.0,0,86.66,0.0,54.51,0,0.0,0,0.0,0.0,0.0,0.0,28.48,0.0,0.0
0.0,0.0,0,84.76,0.0,53.17,0,0.0,0,0.0,0.0,0.0,0.0,28.32,0.0,0.0
0.0,0.0,0,82.3,64.86,53.77,0,0.0,0,0.0,0.0,0.0,0.0,28.78,0.0,0.0
0.0,0.0,0,0.0,0.0,52.93,0,0.0,0,0.0,0.0,0.0,0.0,28.72,0.0,0.0
56.96,0.0,0,0.0,68.69,53.88,0,0.0,0,0.0,0.0,0.0,0.0,30.45,0.0,0.0
58.53,0.0,0,0.0,0.0,53.1,0,0.0,0,0.0,0.0,0.0,0.0,30.09,0.0,0.0
53.64,0.0,0,0.0,65.64,53.03,0,0.0,0,0.0,0.0,0.0,0.0,32.55,0.0,0.0
56.24,0.0,0,0.0,65.73,54.01,0,0.0,0,0.0,0.0,0.0,0.0,31.75,0.0,0.0
57.65,0.0,0,0.0,0.0,52.28,0,0.0,0,0.0,0.0,0.0,0.0,30.23,0.0,0.0
58.75,0.0,0,0.0,0.0,53.37,0,0.0,0,0.0,0.0,0.0,0.0,30.13,0.0,0.0
58.02,0.0,0,0.0,0.0,52.68,0,0.0,0,0.0,0.0,0.0,0.0,30.57,0.0,0.0
57.67,0.0,0,0.0,0.0,53.66,0,0.0,0,0.0,0.0,0.0,0.0,29.47,0.0,0.0
57.54,0.0,0,0.0,59.78,52.42,0,0.0,0,0.0,0.0,0.0,0.0,29.69,0.0,0.0
56.12,0.0,0,0.0,0.0,52.69,0,0.0,0,0.0,0.0,0.0,0.0,29.99,0.0,0.0
54.57,0.0,0,0.0,0.0,53.7,0,0.0,0,0.0,0.0,0.0,0.0,30.26,0.0,0.0
