CT Price,ME Price,MA Price,MO Price,NE Price,NH Price,NJ Price,NY Price,PA Price,RI Price,VT Price
3.72,3.79,4.11,0.0,4.89,0,3.34,0.0,0.0,3.85,0
4.7,0.0,3.19,0.0,4.74,0,2.79,0.0,0.0,0.0,0
0.0,0.0,3.78,4.68,5.01,0,2.9,0.0,0.0,3.54,0
3.01,0.0,3.6,4.19,0.0,0,2.75,0.0,0.0,3.7,0
5.18,0.0,5.68,0.0,0.0,0,4.15,0.0,0.0,5.64,0
5.85,6.52,9.13,0.0,0.0,0,3.94,0.0,0.0,6.04,0
8.77,0.0,12.66,0.0,0.0,0,5.86,0.0,0.0,9.99,0
12.82,17.68,13.6,0.0,0.0,0,10.03,0.0,0.0,0.0,0
6.91,0.0,8.64,3.33,0.0,0,3.68,0.0,0.0,7.68,0
2.99,3.99,3.36,3.01,0.0,0,2.48,0.0,0.0,3.41,0
2.3,3.78,3.16,3.72,0.0,0,2.35,0.0,0.0,2.15,0
2.19,4.06,3.18,3.34,0.0,0,2.37,0.0,0.0,1.96,0
2.48,0.0,2.57,3.28,0.0,0,2.09,0.0,0.0,2.4,0
2.69,0.0,3.08,3.33,0.0,0,2.23,0.0,0.0,2.42,0
3.08,0.0,4.14,3.24,0.0,0,2.1,0.0,0.0,2.78,0
3.17,0.0,4.31,3.42,0.0,0,2.02,0.0,0.0,3.74,0
5.14,0.0,3.62,2.64,0.0,0,1.81,0.0,0.0,3.29,0
5.06,4.31,2.53,2.55,0.0,0,1.69,0.0,0.0,0.0,0
6.12,0.0,5.75,0.0,0.0,0,3.02,0.0,0.0,0.0,0
5.63,0.0,3.64,0.0,0.0,0,2.83,0.0,0.0,0.0,0
4.63,0.0,2.0,0.0,0.0,0,1.62,0.0,0.0,0.0,0
2.74,0.0,3.05,2.21,0.0,0,1.76,0.0,0.0,0.0,0
2.39,0.0,2.18,0.0,0.0,0,1.95,0.0,0.0,0.0,0
2.33,0.0,2.41,2.77,3.32,0,2.13,0.0,0.0,0.0,0
3.13,0.0,2.92,0.0,0.0,0,2.09,0.0,0.0,2.92,0
3.09,0.0,3.24,3.08,0.0,0,1.92,0.0,0.0,0.0,0
2.92,0.0,3.0,3.26,0.0,0,1.7,0.0,0.0,0.0,0
2.45,0.0,3.28,3.39,0.0,0,1.86,0.0,0.0,0.0,0
3.34,0.0,4.05,0.0,3.17,0,2.45,0.0,0.0,0.0,0
5.49,0.0,6.0,3.95,4.75,0,4.01,0.0,0.0,0.0,0
8.12,0.0,5.32,3.64,0.0,0,3.93,0.0,0.0,5.74,0
5.84,9.0,3.95,3.36,6.63,0,3.52,0.0,0.0,4.14,0
4.43,0.0,4.35,3.03,5.26,0,3.36,0.0,0.0,4.63,0
0.0,0.0,3.52,3.31,4.4,0,3.2,0.0,0.0,3.73,0
3.46,0.0,3.39,3.59,4.2,0,3.13,0.0,0.0,3.62,0
3.24,0.0,2.74,3.44,3.6,0,2.31,0.0,0.0,2.94,0
3.04,0.0,2.7,3.28,3.54,0,2.31,0.0,0.0,2.99,0
2.87,0.0,2.5,3.43,3.64,0,2.07,0.0,0.0,2.76,0
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2.92,0.0,3.35,3.05,4.1,0,1.54,0.0,0.0,0.0,0
4.21,0.0,3.79,3.05,5.06,0,2.81,0.0,0.0,3.77,0
5.86,0.0,8.74,3.28,6.08,0,5.23,0.0,0.0,6.33,0
11.06,0.0,14.39,4.26,6.66,0,7.87,0.0,0.0,11.39,0
