IL Price,IN Price,IA Price,KS Price,MI Price,MN Price,ND Price,OH Price,SD Price,WI Price
0.0,0.0,0.0,29.97,50.24,0.0,19.9,55.39,0,0.0
0.0,0.0,0.0,30.21,0.0,0.0,18.95,0.0,0,0.0
0.0,0.0,0.0,30.59,0.0,0.0,18.76,0.0,0,0.0
36.1,0.0,0.0,31.27,55.17,0.0,20.75,0.0,0,0.0
0.0,0.0,0.0,31.27,47.99,0.0,21.97,55.53,0,0.0
0.0,0.0,0.0,31.85,47.83,0.0,21.46,54.99,0,0.0
0.0,0.0,0.0,31.77,48.66,0.0,22.39,56.1,0,0.0
0.0,0.0,0.0,31.51,46.99,0.0,21.31,55.77,0,0.0
35.87,0.0,0.0,31.43,48.2,0.0,21.08,0.0,0,0.0
0.0,0.0,0.0,31.08,51.63,0.0,18.91,54.57,0,0.0
0.0,0.0,0.0,30.57,0.0,0.0,18.46,55.82,0,0.0
0.0,0.0,0.0,30.8,51.03,0.0,19.99,56.87,0,0.0
0.0,0.0,0.0,30.59,48.71,0.0,19.14,54.29,0,0.0
0.0,0.0,0.0,30.08,0.0,0.0,21.03,54.85,0,0.0
0.0,0.0,0.0,29.3,0.0,0.0,22.66,53.7,0,0.0
0.0,0.0,0.0,28.71,46.27,0.0,20.63,55.1,0,0.0
0.0,0.0,0.0,28.62,0.0,0.0,21.02,53.4,0,0.0
34.19,0.0,0.0,29.42,44.9,0.0,21.09,0.0,0,0.0
0.0,0.0,0.0,29.35,45.2,0.0,19.11,52.77,0,0.0
0.0,0.0,0.0,28.87,44.91,0.0,20.03,52.92,0,0.0
33.77,0.0,0.0,28.87,0.0,0.0,21.89,0.0,0,0.0
0.0,0.0,0.0,28.64,42.46,0.0,18.71,53.25,0,0.0
0.0,0.0,0.0,29.56,43.67,0.0,22.15,52.19,0,0.0
0.0,0.0,0.0,28.92,43.9,0.0,21.43,52.13,0,0.0
0.0,0.0,0.0,29.04,0.0,0.0,19.22,0.0,0,0.0
0.0,0.0,0.0,30.4,0.0,0.0,20.28,0.0,0,0.0
0.0,0.0,0.0,29.3,0.0,0.0,21.8,0.0,0,0.0
31.21,0.0,0.0,29.36,0.0,0.0,22.31,0.0,0,0.0
37.36,0.0,0.0,28.74,0.0,0.0,21.6,0.0,0,0.0
31.53,0.0,0.0,28.88,0.0,0.0,21.32,0.0,0,0.0
31.9,0.0,0.0,28.8,0.0,0.0,20.14,0.0,0,0.0
31.78,0.0,0.0,31.03,0.0,0.0,19.35,0.0,0,0.0
0.0,0.0,0.0,28.36,0.0,0.0,21.66,0.0,0,0.0
29.12,0.0,0.0,28.45,0.0,0.0,18.68,51.17,0,0.0
0.0,0.0,0.0,29.83,0.0,0.0,20.04,0.0,0,0.0
30.91,0.0,0.0,29.0,0.0,0.0,21.69,49.11,0,0.0
32.47,0.0,0.0,28.97,0.0,37.46,21.53,48.0,0,0.0
0.0,0.0,0.0,29.03,40.8,37.72,20.26,0.0,0,0.0
32.81,0.0,0.0,29.71,0.0,0.0,21.57,47.98,0,0.0
32.34,0.0,0.0,31.31,0.0,0.0,23.62,47.06,0,0.0
0.0,0.0,30.79,31.08,0.0,0.0,22.66,46.87,0,0.0
0.0,0.0,0.0,29.91,0.0,37.08,22.93,47.5,0,0.0
0.0,0.0,0.0,29.34,0.0,0.0,19.91,0.0,0,0.0
0.0,0.0,0.0,29.24,0.0,36.74,20.34,0.0,0,0.0
