IL Price,IN Price,IA Price,KS Price,MI Price,MN Price,ND Price,OH Price,SD Price,WI Price
0.0,128.04,121.79,0.0,0.0,0.0,0.0,0.0,0,0.0
95.85,99.48,0.0,91.07,0.0,0.0,95.6,0.0,0,107.53
76.16,75.41,0.0,0.0,0.0,0.0,69.74,0.0,0,0.0
0.0,88.8,0.0,82.73,0.0,82.94,0.0,0.0,0,0.0
87.46,83.71,80.93,0.0,0.0,0.0,74.83,0.0,0,0.0
81.85,77.76,77.37,0.0,0.0,0.0,74.19,0.0,0,77.28
0.0,89.76,0.0,0.0,0.0,0.0,79.32,0.0,0,0.0
85.1,87.49,79.73,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,77.03,0.0,0.0,0.0,79.66,77.35,0.0,0,0.0
74.54,78.97,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
74.2,72.04,0.0,0.0,0.0,0.0,69.19,0.0,0,0.0
0.0,79.34,0.0,0.0,0.0,79.23,0.0,80.24,0,0.0
67.26,69.52,70.51,0.0,0.0,0.0,64.75,0.0,0,0.0
0.0,56.16,0.0,56.76,0.0,44.7,57.96,0.0,0,0.0
0.0,49.65,45.55,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,48.78,0.0,0.0,0.0,0.0,38.83,0.0,0,0.0
0.0,56.18,59.1,0.0,0.0,56.02,45.84,57.83,0,0.0
60.9,59.69,0.0,0.0,0.0,0.0,47.07,0.0,0,0.0
72.84,63.08,63.29,0.0,0.0,0.0,0.0,0.0,0,0.0
75.05,68.33,66.6,0.0,0.0,0.0,0.0,0.0,0,69.74
64.72,64.51,0.0,0.0,0.0,0.0,0.0,0.0,0,66.95
66.88,64.25,0.0,0.0,0.0,0.0,54.16,0.0,0,66.04
0.0,63.85,65.91,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,69.68,72.09,0.0,0.0,0.0,0.0,67.93,0,0.0
66.19,64.6,64.54,62.69,0.0,0.0,0.0,0.0,0,0.0
70.7,72.95,68.98,0.0,0.0,0.0,64.7,0.0,0,70.55
79.98,70.66,0.0,72.14,0.0,74.75,0.0,75.35,0,72.04
